City_ID,City,Country,Max Temp,Lat,Lng,Weather,Hotel Name
13,Busselton,AU,86.0,-33.65,115.33,light rain,Observatory Guest House
19,Sinnamary,GF,78.91,5.38,-52.95,light rain,ALETHEIA Appartement Sinnamary
20,Butaritari,KI,84.76,3.07,172.79,light rain,Isles Sunset Lodge
62,Taguatinga,BR,70.61,-12.39,-46.57,light rain,
83,Tutoia,BR,72.0,-2.76,-42.27,light rain,Pousada Guará's
95,Amarante Do Maranhao,BR,71.64,-5.57,-46.74,light rain,Hotéis Caçulinha
99,Kapit,MY,79.07,2.02,112.93,light rain,Hotel Meligai Kapit
118,Tingo Maria,PE,59.04,-9.29,-76.01,light rain,Hospedaje Paraíso
131,Bengkulu,ID,83.73,-3.8,102.27,light rain,Grage Hotel Bengkulu
133,Zambezi,ZM,76.86,-13.54,23.1,moderate rain,Royal Kutachika Lodge
152,East London,ZA,68.0,-33.02,27.91,light rain,Tu Casa
155,Ntcheu,MW,76.87,-14.82,34.64,light rain,Dear Executive Lodge
157,Port Alfred,ZA,71.01,-33.59,26.89,light rain,The Halyards Hotel
160,Faanui,PF,82.9,-16.48,-151.75,light rain,Bora-Bora Pearl Beach Resort & Spa
166,Avarua,CK,82.4,-21.21,-159.78,light rain,Paradise Inn
180,Pontes E Lacerda,BR,64.08,-15.23,-59.34,light rain,Hotel Bressan
199,Vao,NC,78.89,-22.67,167.48,light rain,Hotel Kou-Bugny
204,Batticaloa,LK,83.26,7.71,81.69,light rain,Treatooo City Hotel Batticaloa
209,San Cristobal,VE,56.77,7.77,-72.22,light rain,Pirineos
212,Frankfort,ZA,63.27,-27.27,28.48,light rain,Formule 11 Accomodation
222,Labuhan,ID,83.37,-6.88,112.21,light rain,bador sepret
242,Airai,TL,74.86,-8.93,125.41,light rain,Juvinal Martin
243,Simplicio Mendes,BR,70.2,-7.85,-41.91,light rain,Fidalgo
264,Caravelas,BR,80.76,-17.71,-39.25,light rain,Pousada dos Navegantes
271,Atambua,ID,80.29,-9.11,124.89,light rain,Pondok Pesantren Al Muhajirin Atambua
273,Ballina,AU,75.2,-28.87,153.57,light rain,Ramada Hotel & Suites by Wyndham Ballina Byron
279,Mayumba,GA,83.77,-3.43,10.66,light rain,LIKWALE LODGE
297,Lucapa,AO,77.43,-8.42,20.74,light rain,Residência Ulisses Dos Santos
299,Dingle,PH,78.76,11.0,122.67,light rain,Camp Pasica
306,Bima,ID,81.57,-8.47,118.72,light rain,Lambitu Hotel
307,Puerto Leguizamo,CO,73.0,-0.19,-74.78,moderate rain,la casona de juancho
309,Mahibadhoo,MV,82.53,3.78,72.97,light rain,Omadhoo Inn
312,Manokwari,ID,75.9,-0.87,134.08,light rain,Swiss Belhotel Manokwari
313,Barabai,ID,87.57,-2.58,115.38,light rain,Joko Homestay
314,Tirumullaivasal,IN,80.1,11.23,79.83,light rain,Hajaali
318,Bodden Town,KY,75.99,19.28,-81.25,light rain,Will T Place
327,Samarai,PG,79.92,-10.62,150.67,light rain,Nuli Sapi
331,Chegutu,ZW,82.13,-18.13,30.14,light rain,Jacaranda Lodge
340,Palora,EC,65.68,-1.7,-77.93,light rain,Rancho grande
352,Cidreira,BR,66.94,-30.18,-50.21,light rain,Novomar Pousada e Turismo Ltda
360,West Bay,KY,75.99,19.37,-81.42,light rain,Calypso Cove
361,Coolum Beach,AU,77.0,-26.53,153.1,light rain,Coolum Beach Resort
369,Marsa Matruh,EG,55.96,31.35,27.25,light rain,Beau Site
390,Dicabisagan,PH,74.91,17.08,122.42,moderate rain,Nancy Montanes Bernardo
395,Kawalu,ID,81.32,-7.38,108.21,moderate rain,KOSAN UNGU UNSIK
401,Alta Floresta,BR,71.55,-9.88,-56.09,light rain,Floresta Amazonica Hotel
407,Darnah,LY,55.89,32.77,22.64,light rain,دوفا زعطوط
426,Trairi,BR,73.31,-3.28,-39.27,light rain,Pousada Field Lilies - Trairi
430,Ambunti,PG,80.2,-4.24,142.84,light rain,Ambunti Lodge
433,Lahad Datu,MY,82.67,5.03,118.33,light rain,The 27th House
440,Manjacaze,MZ,81.19,-24.71,33.88,light rain,Hotel Gani
443,Playas,EC,77.85,-2.63,-80.38,light rain,Hostal Promenade
449,Augusto Correa,BR,75.42,-1.02,-46.63,moderate rain,Fazenda Bacuri
452,Angoche,MZ,88.3,-16.23,39.91,light rain,Guest House HESADA
454,Sungaipenuh,ID,75.27,-2.08,101.38,light rain,Hotel Jaya Wisata 2
468,Matara,LK,88.52,5.95,80.54,light rain,Amaloh Boutique Resort
493,Biak,ID,86.14,-0.91,122.88,light rain,Kost Ariz
502,Beloha,MG,89.6,-25.17,45.05,light rain,
510,Vaitape,PF,82.9,-16.52,-151.75,light rain,Conrad Bora Bora Nui
514,Asau,RO,46.4,46.43,26.4,light rain,Casa Mika Ciobanus
521,Juli,PE,47.97,-16.22,-69.45,light rain,Cordelius Turistico
523,Pau Dos Ferros,BR,73.74,-6.11,-38.21,light rain,Hertz Center Hotel
524,Manggar,ID,83.21,-2.88,108.27,moderate rain,Guest Hotel
528,Martapura,ID,82.22,-3.42,114.85,moderate rain,Montana Hotel Syariah
535,Koumac,NC,73.98,-20.57,164.28,light rain,Le Monitel
542,Sao Jose Da Coroa Grande,BR,80.46,-8.9,-35.15,light rain,Crôa Mares Hotel
547,Lahat,ID,80.64,-3.8,103.53,light rain,Bukit Serelo Hotel
548,Kambove,CD,74.7,-10.88,26.6,light rain,Couvant des soeurs catholiques
